aop_elements,aop_elements_id,sort,mark1,mark2,mark3,mark4,mark5,Acronym,Trendency,Label
"Decreased steroidogenesis, Proteomic alterations in the adult Leydig cell",640,MIE,Decrease,steroidogenesis,Proteomic,adult Leydig cell,,,Decrease,Y
"Decreased Cholesterol, Decreased De Novo Biosynthesis of Choleseterol",642,MIE,Decrease,Cholesterol,Choleseterol,,,,Decrease,Y
"Decreased Cholesterol, Decreased Uptake of Lipoproteins",643,MIE,Decrease,Cholesterol,Lipoproteins,,,,Decrease,Y
"Decreased Cholesterol, Decreased Transport of Cholesterol to the Inner Mitochondrial Membrane",644,MIE,Decrease,Cholesterol,Inner Mitochondrial Membrane,,,,Decrease,Y
"Decreased Cholesterol, Decreased Testosterone Production by Adult Leydig Cells",645,KE,Decrease,Cholesterol,Testosterone,Adult Leydig Cells,,,Decrease,Y
"Decreased Cholesterol, Decreased sperm quantity and/or quality in the adult testis",646,AO,Decrease,Cholesterol,sperm quantity,adult testis,,,Decrease,Y
"Decreased steroidogenesis, Decreased Activity of Steroidogenic Enzymes in Adult Leydig cells",647,KE,Decrease,steroidogenesis,Steroidogenic Enzymes,Adult Leydig cells,,,Decrease,Y
"Decreased steroidogenesis, Increased Apoptosis of Adult Leydig Cells",648,KE,Decrease,steroidogenesis,Apoptosis ,Adult Leydig Cells,,,Decrease,Y
"Decreased steroidogenesis, Alterations in the Leydig Cell Cytoskeleton",649,KE,Decrease,steroidogenesis,Leydig Cell Cytoskeleton,,,,Decrease,Y
"Stimulation of adult Leydig cells via the Adrenal Corticosterone, Increased Glucocorticoid",650,MIE,Increase,Glucocorticoid,Adrenal Corticosterone,adult Leydig cells,,,Increase,Y
"Glucocorticoid Receptor mediated alterations in steriodogenic enzymes, Decreased testosterone by adult Leydig cells",651,KE,Decrease,testosterone,adult Leydig cells,Glucocorticoid Receptor,Glucocorticoid Receptor,,Decrease,Y
"Direct effects of Corticosterone on steroidogenesis, Decreased testosterone by adult Leydig cells",652,KE,Decrease,testosterone,adult Leydig cells,Direct effects of Corticosterone on steroidogenesis,,,Decrease,Y
"Decreased testosterone by the fetal Leydig cells, Increased corticosterone",653,MIE,Decrease,testosterone,fetal Leydig cells,corticosterone,,,,Y
"Decreased testosterone by the fetal Leydig cells, Activation by other glucocorticoid receptor agonists",654,MIE,Decrease,testosterone,fetal Leydig cells,glucocorticoid receptor agonists,,,Decrease,Y
"Decreased testosterone by the fetal Leydig cells, Increased COUP-TFII in fetal Leydig cells",655,KE,Decrease,testosterone,fetal Leydig cells,COUP-TFII,,,,Y
"Decreased number and function of adult Leydig cells, Decreased COUP-TFII stem Leydig cells",656,KE,Decrease,adult Leydig cells,COUP-TFII stem Leydig cells,,,,Decrease,Y
"Decreased testosterone by the fetal Leydig cells, Dysgenesis of fetal Leydig cells",657,KE,Decrease,testosterone,fetal Leydig cells,Dysgenesis,,,Decrease,Y
"Decreased testosterone by the fetal Leydig cells, Increased estradiol",658,MIE,Decrease,testosterone,fetal Leydig cells,estradiol,,,,Y
"Decreased testosterone by the fetal Leydig cells, Activation by other estradiol agonists",659,MIE,Decrease,testosterone,fetal Leydig cells,estradiol agonists,,,Decrease,Y
"decreased testosterone by fetal Leydig cells, Dysgenesis of fetal Leydig cells",660,KE,Decrease,testosterone,fetal Leydig cells,Dysgenesis,,,Decrease,Y
"Decreased testosterone by the fetal Leydig cells, Alterations in the fetal testis proteome",661,MIE,Decrease,testosterone,fetal Leydig cells,fetal testis proteome,,,Decrease,Y
"Decreased testosterone by the fetal Leydig cells, Hypermethylation in the fetal testis",662,MIE,Decrease,testosterone,fetal Leydig cells,fetal testis,,,Decrease,Y
"Desensitization, Nicotinic acetylcholine receptor",663,KE,Desensitization,Nicotinic acetylcholine receptor,,,,,Desensitization,Y
"Overwhelmed, Mitochondrial DNA repair mechanisms",664,KE,Overwhelm,Mitochondrial DNA,,,,DNA,Overwhelm,Y
"Binding at picrotoxin site, iGABAR chloride channel",667,MIE,Binding,picrotoxin site,iGABAR chloride channel,,,,Binding,Y
"Reduction, Neuronal synaptic inhibition",669,KE,Reduction,inhibition,Neuronal synaptic,,,,Reduction,Y
"Reduced, Prostaglandin F2alpha concentration, plasma ",671,KE,Reduction,plasma ,Prostaglandin F2alpha,,,,Reduction,Y
"Reduced, Prostaglandin F2alpha synthesis, ovary  ",672,KE,Reduction,ovary  ,Prostaglandin F2alpha,,,,Reduction,Y
"Reduced, Spawning behavior",673,KE,Reduction,Spawning behavior,,,,,Reduction,Y
"Reduced, Ability to attract spawning mates",674,KE,Reduction,attract spawning mates,,,,,Reduction,Y
"Reduced, Reproductive Success",675,AO,Reduction,Reproductive Success,,,,,Reduction,Y
"Reduced, Pheromone release",678,KE,Reduction,Pheromone,,,,,Reduction,Y
"Decline, Population trajectory",679,AO,Decline,Population trajectory,,,,,Decline,Y
"Decreased, Prostaglandin F2alpha synthesis, ovary  ",681,KE,Decrease,ovary,Prostaglandin F2alpha,,,,Decrease,Y
"Generation, Amplified excitatory postsynaptic potential (EPSP)",682,KE,Generation,Amplification,excitatory postsynaptic potential ,,,EPSP,Generation,Y
"Reduced, Prostaglandins, ovary",685,KE,Reduction,ovary,Prostaglandins,,,,Reduction,Y
"Reduced, Prostaglandin E2 concentration, hypothalamus",687,KE,Reduction,hypothalamus,Prostaglandin E2,,,,Reduction,Y
"Reduced, Gonadotropin releasing hormone, hypothalamus",689,KE,Reduction,hypothalamus,Gonadotropin,hormone,,,Reduction,Y
"Reduced, Luteinizing hormone (LH), plasma ",690,KE,Reduction,plasma,Luteinizing hormone,,,LH,Reduction,Y
"Reduced, Maturation inducing steroid, plasma",691,KE,Reduction,plasma,Maturation inducing,steroid,,,Reduction,Y
"Reduced, Maturation inducing steroid receptor signalling, oocyte",692,KE,Reduction,oocyte,Maturation inducing,steroid receptor,,,Reduction,Y
"Reduced, Meiotic prophase I/metaphase I transition, oocyte",694,KE,Reduction,oocyte,Meiotic metaphase I,Meiotic prophase I,,*,Reduction,Y
"Upregulated, Spindle assembly checkpoint protein Mad2-oocyte",695,KE,Upregulatation,assembly,Spindle,Mad2-oocyte,,,Upregulatation,Y
"impaired, ion channels",697,MIE,impairment,ion channels,,,,,impairment,Y
"Altered, Action Potential",698,KE,Alteration,Action Potential,,,,,Alteration,Y
"Increased, cardiac arrthymia",699,KE,Increase,cardiac arrthymia,,,,,Increase,Y
"Increased, Accumulation of alpha2u microglobulin (proximal tubular epithelium)",708,KE,Increase,Accumulation,alpha2u microglobulin,proximal tubular epithelium,,,Increase,Y
"Increase, Cytotoxicity (renal tubular cell)",709,KE,Increase,Cytotoxicity,renal tubular cell,,,,Increase,Y
"Increase, Regenerative cell proliferation (tubular epithelial cells)",710,KE,Increase,proliferation,Regenerative cell,tubular epithelial cells,,,Increase,Y
"Increase, Adenomas/carcinomas (renal tubular)",713,AO,Increase,Adenomas,carcinomas,renal tubular,,,Increase,Y
"Increased, Binding of chemicals to 2u (serum)",714,MIE,Increase,Binding,2u,serum,,,Increase,Y
"Activation, Constitutive androstane receptor",715,MIE,Activation,Constitutive androstane receptor,,,,,Activation,Y
"Increase, Mitogenic cell proliferation (hepatocytes)",716,KE,Increase,proliferation,Mitogenic cell,hepatocytes,,,Increase,Y
"Binding, Tubulin",718,MIE,Binding,Tubulin,,,,,Binding,Y
"Increase, Adenomas/carcinomas (hepatocellular)",719,AO,Increase,Adenomas,carcinomas,hepatocellular,,,Increase,Y
"Disruption, Microtubule dynamics",720,KE,Disruption,Microtubule dynamics,,,,,Disruption,Y
"Disorganization, Spindle",721,KE,Disorganization,Spindle,,,,,Disorganization,Y
"Altered, Chromosome number",723,KE,Alteration,Chromosome,,,,,Alteration,Y
"Inhibition, Pyruvate dehydrogenase kinase (PDK) enzyme",724,MIE,Inhibition,Pyruvate dehydrogenase kinase,,,,PDK,Inhibition,Y
"Increased, Induction of pyruvate dehydrogenase (PDH)",726,KE,Increase,Induction,pyruvate dehydrogenase,,,PDH,Increase,Y
"Increase, Aneuploid offspring",728,AO,Increase,Aneuploid offspring,,,,,Increase,Y
"Increase, Necrosis (terminal bronchiolar cells)",733,KE,Increase,Necrosis,terminal bronchiolar cells,,,,Increase,Y
"Increase, Regenerative cell proliferation (terminal bronchiolar epithelial cells)",734,KE,Increase,proliferation,Regenerative cell,terminal bronchiolar epithelial cells,,,Increase,Y
"Increase, Hyperplasia (terminal bronchiolar cells)",735,KE,Increase,Hyperplasia,terminal bronchiolar cells,,,,Increase,Y
"Increase, Adenomas/carcinomas (bronchioloalveolar)",736,AO,Increase,Adenomas,carcinomas,bronchioloalveolar,,,Increase,Y
"Decreased, Uptake of inorganic iodide",737,MIE,Decrease,Uptake,inorganic iodide,,,,Decrease,Y
"Increase, Hypertrophy and proliferation (follicular cell)",739,KE,Increase,Hypertrophy,proliferation,follicular cell,,,Increase,Y
"Increase, Hyperplasia (follicular cells)",740,KE,Increase,Hyperplasia,follicular cells,,,,Increase,Y
"Increase, Adenomas/carcinomas (follicular cell)",741,AO,Increase,Adenomas,carcinomas,follicular cell,,,Increase,Y
"Decreased, Androgen receptor activity",742,MIE,Decrease,Androgen receptor,,,,AR,Decrease,Y
"Decreased, Testosterone binding to androgen receptor (hypothalamus)",743,KE,Decrease,binding,Testosterone,androgen receptor ,hypothalamus,AR,Decrease,Y
"Increase, Hyperplasia (Leydig cells)",744,KE,Increase,Hyperplasia,Leydig cells,,,,Increase,Y
"Increase, Leydig cell tumors",745,AO,Increase,Leydig cell tumors,,,,,Increase,Y
"Increase, Dopaminergic activity",746,MIE,Increase,Dopaminergic,,,,,Increase,Y
"Decreased, Prolactin",747,KE,Decrease,Prolactin,,,,,Decrease,Y
"Increased, Estrogen receptor (ER) activity",748,KE,Increase,Estrogen receptor,,,,ER,Increase,Y
"Decreased, Progesterone from corpus luteum",749,KE,Decrease,Progesterone from corpus luteum,,,,,Decrease,Y
"Altered, Meiotic chromosome dynamics",752,KE,Alteration,Meiotic chromosome dynamics,,,,,Alteration,Y
"Increase, Thyroid-stimulating hormone (TSH)",753,KE,Increase,Thyroid-stimulating hormone,,,,TSH,Increase,Y
"Increased, Luteinizing hormone (LH) ",754,KE,Increase,Luteinizing hormone,,,,LH,Increase,Y
"Hippocampal gene expression, Altered ",756,KE,Alteration,Hippocampal gene,,,,,Alteration,Y
"Hippocampal anatomy, Altered ",757,KE,Alteration,Hippocampal anatomy,,,,,Alteration,Y
"Hippocampal Physiology, Altered",758,KE,Alteration,Hippocampal Physiology,,,,,Alteration,Y
"Increased, Kidney Failure",759,AO,Increase,Kidney Failure,,,,,Increase,Y
"Activation, Glutamate-gated chloride channel",760,MIE,Activation,Glutamate-gated chloride channel,,,,,Activation,Y
"Increased, Chloride conductance",761,KE,Increase,conductance,Chloride,,,,Increase,Y
"Activation, ionotropic GABA Receptor chloride channel",762,MIE,Activation,ionotropic GABA Receptor chloride channel,,,,GABA ,Activation,Y
"hyperpolarisation, neuron",763,KE,Hyperpolarisation,neuron,,,,,Hyperpolarisation,Y
"N/A, Ataxia, paralysis, or hyperactivity",764,KE,Ataxia,paralysis,hyperactivity,,,,Ataxia,Y
"Decreased, population 1",765,AO,Decrease,population 1,,,,,Decrease,Y
"Inhibition, 4-hydroxyphenyl-pyruvate dioxygenase (HPPD) enzyme",766,MIE,Inhibition,4-hydroxyphenyl-pyruvate dioxygenase,,,,HPPD,Inhibition,Y
"Increase, Hyperplasia (renal tubular cells)",767,KE,Increase,Hyperplasia,renal tubular cells,,,,Increase,Y
"Increase, Cytotoxicity",768,KE,Increase,Cytotoxicity,,,,,Increase,Y
"Increase, Oxidative metabolism",769,KE,Increase,Oxidative metabolism,,,,,Increase,Y
"Increase, Cytotoxicity (club cells)",770,MIE,Increase,Cytotoxicity,club cells,,,,Increase,Y
"Decrease, Serum thyroid hormone (T4/T3)",771,KE,Decrease,Serum thyroid hormone,T4,T3,,T4/T3,Decrease,Y
"Increase, Hyperplasia (glandular epithelial cells of endometrium)",772,KE,Increase,Hyperplasia ,glandular epithelial cells of endometrium,,,,Increase,Y
"Increase, Endometrial adenocarcinomas",773,AO,Increase,Endometrial adenocarcinomas,,,,,Increase,Y
"Increase, Preneoplastic foci (hepatocytes)",774,KE,Increase,Preneoplastic foci,hepatocytes,,,,Increase,Y
"Increased, Plasma tyrosine",775,KE,Increase,Plasma tyrosine,,,,,Increase,Y
"Increase, Cytotoxicity (corneal cells)",776,KE,Increase,Cytotoxicity,corneal cells,,,,Increase,Y
"Increase, Inflammation (corneal cells)",777,KE,Increase,Inflammation,corneal cells,,,,Increase,Y
"Increase, Regenerative cell proliferation (corneal cells)",778,KE,Increase,proliferation,Regenerative cell ,corneal cells,,,Increase,Y
"Increase, Papillomas/carcinomas (squamous cells)",779,AO,Increase,Papillomas,carcinomas,squamous cells,,,Increase,Y
"Increase, Cytotoxicity (epithelial cells)",780,MIE,Increase,Cytotoxicity,epithelial cells,,,,Increase,Y
"Increase, Regenerative cell proliferation (forestomach epithelial cells)",781,KE,Increase,proliferation,Regenerative cell,forestomach epithelial cells,,,Increase,Y
"Increase, Hyperplasia (forestomach epithelial cells)",782,KE,Increase,Hyperplasia,forestomach epithelial cells,,,,Increase,Y
"Increase, Cytotoxicity (tubular epithelial cells)",783,MIE,Increase,Cytotoxicity,tubular epithelial cells,,,,Increase,Y
"Increase, Hyperplasia (tubular epithelial cells)",784,KE,Increase,Hyperplasia,tubular epithelial cells,,,,Increase,Y
"Activation, Androgen receptor",785,MIE,Activation,Androgen receptor,,,,AR,Activation,Y
"Increase, Cytotoxicity (hepatocytes)",786,MIE,Increase,Cytotoxicity,hepatocytes,,,,Increase,Y
"Increase, Regenerative cell proliferation (hepatocytes)",787,KE,Increase,proliferation,Regenerative cell,hepatocytes,,,Increase,Y
"Decrease, Incorporation of active iodide into iodotyrosines",788,KE,Decrease,Incorporation,active iodide,iodotyrosines,,,Decrease,Y
"Inhibition, 5α-reductase activity",790,MIE,Inhibition,5α-reductase,,,,,Inhibition,Y
"Increased, Leutinizing hormone (LH)",791,KE,Increase,Leutinizing hormone,,,,LH,Increase,Y
"Decrease, Bioactivation of testosterone",792,KE,Decrease,Bioactivation of testosterone,,,,,Decrease,Y
"Increase, Urinary bladder calculi",793,MIE,Increase,Urinary bladder calculi,,,,,Increase,Y
"Increase, Cytotoxicity (urothelial cells)",794,KE,Increase,Cytotoxicity,urothelial cells,,,,Increase,Y
"Increase, Regenerative cell proliferation (urothelial cells)",795,KE,Increase,proliferation,Regenerative cell,urothelial cells,,,Increase,Y
"Increase, Hyperplasia (urothelial)",796,KE,Increase,Hyperplasia,urothelial,,,,Increase,Y
"Increase, Adenomas/carcinomas (urothelial)",797,AO,Increase,Adenomas,carcinomas,urothelial,,,Increase,Y
"Inhibition, Prolyl hydroxylases",798,MIE,Inhibition,Prolyl hydroxylases,,,,,Inhibition,Y
"Increased, HIF-1 heterodimer",799,KE,Increase,HIF-1 heterodimer,,,,HIF-1,Increase,Y
"Decreased, Aromatase (Cyp19a1) mRNA",800,KE,Decrease,Aromatase,Cyp19a1,mRNA,,Cyp19a1,Decrease,Y
"modulation, Unknown",801,MIE,,modulation,,,,,Modulation,Y
"Increased, HIF-1 alpha transcription",802,KE,Increase,HIF-1 alpha,,,,HIF-1,Increase,Y
"Inhibition, HMG-CoA reductase",804,MIE,Inhibition,HMG-CoA reductase,,,,,Inhibition,Y
"Decreased, mevalonate",805,KE,Decrease,mevalonate,,,,,Decrease,Y
"Decreased, cholesterol",807,KE,Decrease,cholesterol,,,,,Decrease,Y
"Decreased, Testosterone",808,KE,Decrease,Testosterone,,,,,Decrease,Y
"malformed, Male reproductive tract",809,KE,malformation,Male reproductive tract,,,,,malformation,Y
"Increased, Serum creatinine",813,KE,Increase,Serum creatinine,,,,,Increase,Y
"Occurrence, Kidney toxicity",814,AO,Occurrence,Kidney,,,,,Occurrence,Y
"Decreased, Glomerular filtration",819,KE,Decrease,Glomerular ,,,,,Decrease,Y
"Decreased, Renal plasma flow",820,KE,Decrease,Renal plasma flow,,,,,Decrease,Y
"Decreased, Sodium reabsorption",821,KE,Decrease,Sodium reabsorption,,,,,Decrease,Y
"Occurrence, Cystic dilatation (renal tubule)",823,KE,Occurrence,Cystic dilatation,Renal tubule,,,,Occurrence,Y
"Activation, Keratinocytes",826,KE,Activation,Keratinocytes,,,,,Activation,Y
"sensitisation, skin",827,AO,Sensitisation,Skin,,,,,Sensitisation,Y
"Inhibition, Phospholipase A",828,MIE,Inhibition,Phospholipase A,,,,,Inhibition,Y
"Damage, Lipid bilayer",829,KE,Damage,Lipid bilayer,,,,,Damage,Y
"Disturbance, Lysosomal function",831,KE,Disturbance,Lysosomal function,,,,,Disturbance,Y
"Injury, Mitochondria",832,KE,Injury,Mitochondria,,,,,Injury,Y
"Occurrence, Cytoplasmic vacuolization (hepatocyte)",833,KE,Occurrence,Cytoplasmic vacuolization,hepatocyte,,,, Vacuolization,Y
"Occurrence, Ballooning degeneration (hepatocyte)",835,KE,Occurrence,Ballooning degeneration,hepatocyte,,,,Degeneration,Y
"Occurrence, Cytoplasmic vacuolization (kupffer cell)",837,KE,Occurrence,Cytoplasmic vacuolization,kupffer cell,,,, Vacuolization,Y
"Formation, Liver fibrosis",840,AO,Formation,Liver fibrosis,,,,,Formation,Y
"Oxidation, Uroporphyrinogen",844,KE,Oxidation,Uroporphyrinogen,,,,,Oxidation,Y
"Inhibition, UROD",845,KE,Inhibition,UROD,,,,UROD,Inhibition,Y
"Accumulation, Highly carboxylated porphyrins",846,KE,Accumulation,Highly carboxylated porphyrins,,,,,Accumulation,Y
"Decreased, Binding of NE to NE receptors on GnRH neurons",848,KE,Decrease,Binding of NE,NE receptors,GnRH neurons,,,Decrease,Y
"Inhibition, Antgonism of NE receptor",849,MIE,Inhibition,Antgonism,NE receptor,,,,Inhibition,Y
"Induction, CYP1A2/CYP1A5",850,KE,Induction,CYP1A2,CYP1A5,,,CYP1A2/CYP1A5,Induction,Y
Decrease of GABAergic interneurons,851,KE,Decrease,GABAergic interneurons,,,,GABA,Decrease,Y
"Changes/Inhibition, Cellular Homeostasis and Apoptosis",853,KE,Change,Inhibition,Cellular Homeostasis,Cellular Apoptosis,,,Inhibition,Y
"Alterations, Cellular proliferation / hyperplasia",854,KE,Alteration,Cellular proliferation,Cellular hyperplasia,,,,Alteration,Y
"Formation, Hepatocellular and Bile duct tumors",856,AO,Formation,Hepatocellular,Bile duct tumors,,,,Formation,Y
"Decreased, PPARalpha transactivation of gene expression",858,KE,Decrease,PPARalpha transactivation,gene expression,,,PPAR ,Decrease,Y
"Decreased, Mitochondrial Fatty Acid Beta Oxidation",860,KE,Decrease,Mitochondrial Fatty Acid Beta Oxidation,,,,,Decrease,Y
"Decreased, Ketogenesis (production of ketone bodies)",861,KE,Decrease,Ketogenesis,production of ketone bodies,,,,Decrease,Y
"Not Increased, Circulating Ketone Bodies",862,KE,Not Increase,Circulating Ketone Bodies,,,,,Increase,Y
"Increased, Catabolism of Muscle Protein",863,KE,Increase,Catabolism,Muscle Protein,,,,Increase,Y
"Decreased, Body Weight",864,AO,Decrease,Body Weight,,,,,Decrease,Y
"Decrease, Intracellular pH",867,MIE,Decrease,Intracellular pH,,,,,Decrease,Y
"Increase, Tissue Degeneration, Necrosis & Atrophy ",868,KE,Increase,Tissue Degeneration,Tissue Necrosis,Tissue Atrophy ,,,Increase,Y
"Increase, Respiratory or Squamous Metaplasia",869,KE,Increase,Respiratory,Squamous Metaplasia,,,,Increase,Y
"Increase, Cell Proliferation",870,KE,Increase,Cell Proliferation,,,,,Increase,Y
"Increase, Site of Contact Nasal Tumors",872,AO,Increase,Contact Nasal Tumors,,,,,Increase,Y
"Binding of agonist, Ionotropic glutamate receptors",875,MIE,Binding,agonist receptors,Ionotropic glutamate receptors,,,,Binding,Y
"Increase, Mutations in Critical Genes",876,KE,Increase,Mutation,Critical Gene,,,,Increase,Y
"Inhibition, organic anion transporter 1 (OAT1)",877,MIE,Inhibition,organic anion transporter 1,,,,OAT1,Inhibition,Y
"Inhibition, SREBP1c",878,KE,Inhibition,SREBP1c,,,,SREBP1c,Inhibition,Y
"Increase, Cancer",885,AO,Increase,Cancer,,,,,Increase,Y
